Player ID,Game Date,Team,Opponent,At Bats,Hits,Total Bases,5-Game AVG,7-Day TB,Risk-Adj TB,Back-to-Back Game,Risk Score
472610,2025-03-19,Los Angeles Dodgers,Chicago Cubs,5,2,2,0.4,2.0,,False,0
472610,2025-03-28,Los Angeles Dodgers,Detroit Tigers,4,1,3,0.3333333333333333,5.0,,False,0
472610,2025-03-29,Los Angeles Dodgers,Detroit Tigers,7,2,4,0.3125,9.0,0.0,True,1
472610,2025-03-31,Los Angeles Dodgers,Atlanta Braves,4,1,1,0.3,10.0,0.0,False,0
472610,2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,4,0,0,0.25,10.0,,False,0
472610,2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,2,0,0,0.19047619047619047,10.0,,False,1
472610,2025-04-08,Los Angeles Dodgers,Washington Nationals,4,1,1,0.19047619047619047,11.0,0.0,False,1
472610,2025-04-12,Los Angeles Dodgers,Chicago Cubs,4,3,7,0.2777777777777778,16.0,0.0,False,0
472610,2025-04-15,Los Angeles Dodgers,Colorado Rockies,3,0,0,0.23529411764705882,13.0,,False,0
472610,2025-04-20,Los Angeles Dodgers,Texas Rangers,2,0,0,0.26666666666666666,9.0,,False,0
472610,2025-04-22,Los Angeles Dodgers,Chicago Cubs,4,1,2,0.29411764705882354,10.0,0.0,False,0
472610,2025-04-23,Los Angeles Dodgers,Chicago Cubs,3,1,1,0.3125,11.0,0.0,True,1
472610,2025-04-25,Los Angeles Dodgers,Pittsburgh Pirates,3,0,0,0.13333333333333333,11.0,,False,1
472610,2025-04-27,Los Angeles Dodgers,Pittsburgh Pirates,2,0,0,0.14285714285714285,10.0,,False,1
472610,2025-04-29,Los Angeles Dodgers,Miami Marlins,3,0,0,0.13333333333333333,3.0,,False,1
472610,2025-05-03,Los Angeles Dodgers,Atlanta Braves,5,2,2,0.1875,5.0,0.0,False,1
472610,2025-05-04,Los Angeles Dodgers,Atlanta Braves,3,1,1,0.1875,6.0,0.0,True,2
472610,2025-05-06,Los Angeles Dodgers,Miami Marlins,5,3,5,0.3333333333333333,9.0,0.0,False,0
472610,2025-05-09,Los Angeles Dodgers,Arizona Diamondbacks,5,1,1,0.3333333333333333,9.0,0.0,False,0
472610,2025-05-13,Los Angeles Dodgers,Athletics,3,2,3,0.42857142857142855,12.0,0.0,False,0
489446,2025-03-19,Los Angeles Dodgers,Chicago Cubs,4,1,1,0.25,1.0,,False,0
489446,2025-03-28,Los Angeles Dodgers,Detroit Tigers,3,0,0,0.14285714285714285,1.0,,False,1
489446,2025-03-29,Los Angeles Dodgers,Detroit Tigers,3,0,0,0.1,1.0,,True,2
489446,2025-04-02,Los Angeles Dodgers,Atlanta Braves,4,1,1,0.14285714285714285,2.0,0.0,False,1
489446,2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,4,2,3,0.2222222222222222,5.0,0.0,False,0
489446,2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,2,0,0,0.1875,5.0,,False,1
